ts,host,soc,jetpack,model,rep,num_thread,num_ctx,num_predict,prompt_tokens,gen_tokens,prompt_sec,gen_sec,ttft_sec,total_sec,prompt_tps,gen_tps,proc_rss_mb,proc_hwm_mb,sys_mem_avail_mb,avg_power_w,max_power_w,idle_power_w,net_power_w,energy_total_j,energy_per_generated_token_j,energy_per_all_tokens_j,avg_gpu_temp_c,avg_cpu_temp_c,throttling
2025-10-08_14:04:30,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-125m-q5,1,2,512,32,59,32,1.5398,1.4618,5.2496,5.2166,38.32,21.89,143,153,2133,4.133,0.000,2.515,1.618,8.4405,0.263766,0.092753,39.7,41.3,no
2025-10-08_14:04:40,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-125m-q5,2,2,512,32,59,32,1.5365,1.4641,4.2079,4.1785,38.40,21.86,137,153,2142,4.312,0.000,3.201,1.111,4.6423,0.145072,0.051014,39.0,43.2,no
2025-10-08_14:04:50,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-125m-q5,3,2,512,32,59,32,1.5353,1.4590,4.2074,4.1786,38.43,21.93,139,153,2140,4.300,0.000,3.316,0.984,4.1117,0.128491,0.045184,39.0,42.0,no
2025-10-08_14:05:01,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-125m-q5,1,2,512,64,59,64,1.5575,2.9997,4.6443,5.7251,37.88,21.34,144,153,2144,4.314,0.000,3.239,1.075,6.1545,0.096164,0.050037,39.5,44.0,no
2025-10-08_14:05:12,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-125m-q5,2,2,512,64,59,64,1.5408,2.9934,4.6399,5.7157,38.29,21.38,142,153,2146,4.398,0.000,3.328,1.070,6.1158,0.095559,0.049722,39.0,43.7,no
2025-10-08_14:05:23,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-125m-q5,3,2,512,64,59,64,1.5380,2.9617,4.6249,5.6801,38.36,21.61,133,153,2148,4.421,0.000,3.367,1.054,5.9868,0.093544,0.048673,39.5,43.2,no
2025-10-08_14:05:37,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-125m-q5,1,2,512,128,59,128,1.5594,6.1698,4.6974,8.9227,37.84,20.75,133,153,2155,4.531,0.000,3.426,1.105,9.8596,0.077028,0.052725,39.8,43.7,no
2025-10-08_14:05:52,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-125m-q5,2,2,512,128,59,128,1.5574,6.1144,4.6818,8.8552,37.88,20.93,144,153,2138,4.568,0.000,3.347,1.221,10.8122,0.084470,0.057819,40.3,43.3,no
2025-10-08_14:06:06,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-125m-q5,3,2,512,128,59,128,1.5376,6.0924,4.6309,8.8073,38.37,21.01,142,153,2146,4.590,0.000,3.426,1.164,10.2517,0.080091,0.054822,40.2,43.6,no
2025-10-08_14:06:17,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-125m-q5,1,2,1024,32,130,32,3.4995,1.4789,6.1861,6.1567,37.15,21.64,143,153,2144,4.419,0.000,3.466,0.953,5.8673,0.183353,0.036218,40.0,46.0,no
2025-10-08_14:06:29,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-125m-q5,2,2,1024,32,130,32,3.4839,1.4788,6.1555,6.1265,37.31,21.64,145,153,2132,4.412,0.000,3.406,1.006,6.1633,0.192603,0.038045,40.8,45.0,no
