ts,model,num_thread,num_ctx,num_predict,prompt_tokens,gen_tokens,prompt_sec,gen_sec,ttft_sec,total_sec,prompt_tps,gen_tps,mem_mb,avg_power_w,idle_power_w,net_power_w,energy_j,energy_per_token_j
2025-09-28_17:48:36,nano-125m-q5,2,512,32,58,32,1.5393,1.4774,1.5393,3.1016,37.68,21.66,93,0.000,0.000,0.000,0.0000,0.000000
2025-09-28_17:48:41,nano-125m-q5,2,512,64,58,64,1.5244,2.9756,1.5244,4.5792,38.05,21.51,92,0.000,0.000,0.000,0.0000,0.000000
2025-09-28_17:48:50,nano-125m-q5,2,512,128,58,128,1.5092,6.0332,1.5092,7.6224,38.43,21.22,92,0.000,0.000,0.000,0.0000,0.000000
2025-09-28_17:48:57,nano-125m-q5,2,1024,32,129,32,3.4974,1.5230,3.4974,6.6586,36.88,21.01,101,0.000,0.000,0.000,0.0000,0.000000
2025-09-28_17:49:08,nano-125m-q5,2,1024,64,129,64,3.5441,3.0606,3.5441,8.3957,36.40,20.91,115,0.000,0.000,0.000,0.0000,0.000000
2025-09-28_17:49:32,nano-125m-q5,2,1024,128,129,128,3.5021,6.5904,3.5021,16.4275,36.84,19.42,130,0.000,0.000,0.000,0.0000,0.000000
2025-09-28_17:49:56,nano-125m-q5,2,2048,32,311,32,8.8025,1.5820,8.8025,16.7195,35.33,20.23,129,0.000,0.000,0.000,0.0000,0.000000
2025-09-28_17:50:21,nano-125m-q5,2,2048,64,311,64,8.7964,3.2486,8.7964,18.3946,35.36,19.70,123,0.000,0.000,0.000,0.0000,0.000000
2025-09-28_17:50:46,nano-125m-q5,2,2048,128,311,128,8.7868,6.5773,8.7868,16.9444,35.39,19.46,129,0.000,0.000,0.000,0.0000,0.000000
2025-09-28_17:50:50,nano-125m-q5,4,512,32,58,32,0.7777,1.0450,0.7777,1.9066,74.58,30.62,132,0.000,0.000,0.000,0.0000,0.000000
2025-09-28_17:50:53,nano-125m-q5,4,512,64,58,64,0.7760,2.0778,0.7760,2.9509,74.74,30.80,133,0.000,0.000,0.000,0.0000,0.000000
