ts,host,soc,os,model,rep,num_thread,num_ctx,num_predict,prompt_tokens,gen_tokens,prompt_sec,gen_sec,ttft_sec,total_sec,prompt_tps,gen_tps,proc_rss_mb,proc_hwm_mb,sys_mem_avail_mb,cpu_temp_c
2025-10-06_16:51:14,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-125m-q5,1,2,512,32,512,32,11.6901,1.2105,13.0265,12.9759,43.80,26.44,182,183,6248,62.3
2025-10-06_16:51:29,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-125m-q5,2,2,512,32,512,32,11.5767,1.2103,12.9168,12.8647,44.23,26.44,183,183,6271,63.3
2025-10-06_16:51:44,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-125m-q5,3,2,512,32,512,32,11.5813,1.2133,12.9220,12.8706,44.21,26.37,180,183,6275,65.2
2025-10-06_16:52:01,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-125m-q5,1,2,512,64,512,64,11.5755,2.4529,14.1544,14.1038,44.23,26.09,180,183,6278,65.7
2025-10-06_16:52:17,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-125m-q5,2,2,512,64,512,64,11.6134,2.4618,14.2005,14.1507,44.09,26.00,183,183,6276,65.7
2025-10-06_16:52:33,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-125m-q5,3,2,512,64,512,64,11.6158,2.4613,14.2052,14.1549,44.08,26.00,183,183,6278,66.2
2025-10-06_16:52:52,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-125m-q5,1,2,512,128,512,128,11.5785,4.9565,16.6631,16.6111,44.22,25.82,180,184,6279,67.2
2025-10-06_16:53:11,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-125m-q5,2,2,512,128,512,128,11.5765,4.9602,16.6626,16.6125,44.23,25.81,181,184,6277,68.6
2025-10-06_16:53:30,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-125m-q5,3,2,512,128,512,128,11.5834,4.9692,16.6776,16.6261,44.20,25.76,180,184,6276,69.1
2025-10-06_16:54:00,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-125m-q5,1,2,1024,32,1024,32,25.3134,1.4017,27.7232,27.6532,40.45,22.83,179,184,6267,69.1
2025-10-06_16:54:29,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-125m-q5,2,2,1024,32,1024,32,25.2938,1.3974,26.8455,26.7727,40.48,22.90,183,184,6258,68.6
2025-10-06_16:54:58,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-125m-q5,3,2,1024,32,1024,32,25.3051,1.3966,26.8510,26.7762,40.47,22.91,180,184,6261,69.1
2025-10-06_16:55:28,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-125m-q5,1,2,1024,64,1024,64,25.3116,2.8287,28.2876,28.2168,40.46,22.63,180,184,6259,70.6
2025-10-06_16:55:59,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-125m-q5,2,2,1024,64,1024,64,25.2994,2.8829,28.3871,28.2939,40.48,22.20,181,184,6527,71.1
2025-10-06_16:56:29,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-125m-q5,3,2,1024,64,1024,64,25.3071,2.8248,28.3404,28.2383,40.46,22.66,180,184,7061,71.1
2025-10-06_16:57:03,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-125m-q5,1,2,1024,128,1024,128,25.3068,5.6738,31.1276,31.0566,40.46,22.56,183,184,7059,72.0
2025-10-06_16:57:36,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-125m-q5,2,2,1024,128,1024,128,25.3397,5.6926,31.1801,31.1067,40.41,22.49,180,184,7055,71.1
