ts,host,soc,os,model,rep,num_thread,num_ctx,num_predict,prompt_tokens,gen_tokens,prompt_sec,gen_sec,ttft_sec,total_sec,prompt_tps,gen_tps,proc_rss_mb,proc_hwm_mb,sys_mem_avail_mb,cpu_temp_c
2025-10-07_20:55:34,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-125m-q5,1,2,512,32,59,32,1.1549,1.0622,3.1347,3.0988,51.09,30.13,192,195,7112,55.0
2025-10-07_20:55:39,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-125m-q5,2,2,512,32,59,32,1.1566,1.0661,3.1528,3.1223,51.01,30.02,191,195,7118,56.0
2025-10-07_20:55:45,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-125m-q5,3,2,512,32,59,32,1.1581,1.0665,3.1624,3.1326,50.95,30.00,193,195,7143,55.5
2025-10-07_20:55:51,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-125m-q5,1,2,512,64,59,64,1.1572,2.1631,4.2252,4.1904,50.99,29.59,190,195,7160,56.0
2025-10-07_20:55:57,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-125m-q5,2,2,512,64,59,64,1.1559,2.1781,4.2397,4.2086,51.04,29.38,194,195,7186,57.4
2025-10-07_20:56:04,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-125m-q5,3,2,512,64,59,64,1.1568,2.2198,4.2784,4.2476,51.00,28.83,191,195,7185,58.4
2025-10-07_20:56:13,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-125m-q5,1,2,512,128,59,128,1.1575,4.4163,6.4808,6.4483,50.97,28.98,191,195,7190,59.4
2025-10-07_20:56:21,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-125m-q5,2,2,512,128,59,128,1.1562,4.4636,6.5247,6.4918,51.03,28.68,191,195,7150,59.9
2025-10-07_20:56:30,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-125m-q5,3,2,512,128,59,128,1.1592,4.4313,6.4935,6.4613,50.90,28.89,192,195,7142,60.8
2025-10-07_20:56:37,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-125m-q5,1,2,1024,32,130,32,2.6313,1.0868,4.6237,4.5915,49.41,29.44,191,195,7175,59.9
2025-10-07_20:56:43,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-125m-q5,2,2,1024,32,130,32,2.6335,1.0856,4.6211,4.5890,49.36,29.48,191,195,7178,59.9
2025-10-07_20:56:50,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-125m-q5,3,2,1024,32,130,32,2.6721,1.0885,4.6637,4.6298,48.65,29.40,194,195,7193,59.9
2025-10-07_20:56:58,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-125m-q5,1,2,1024,64,130,64,2.6305,2.2199,5.7552,5.7233,49.42,28.83,191,195,7151,60.8
2025-10-07_20:57:06,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-125m-q5,2,2,1024,64,130,64,2.6658,2.2213,5.7900,5.7570,48.77,28.81,191,195,7209,61.3
2025-10-07_20:57:14,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-125m-q5,3,2,1024,64,130,64,2.6330,2.2288,5.7654,5.7318,49.37,28.72,191,195,7158,61.8
2025-10-07_20:57:24,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-125m-q5,1,2,1024,128,130,128,2.6732,4.5323,8.1108,8.0777,48.63,28.24,191,195,7188,62.3
2025-10-07_20:57:35,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-125m-q5,2,2,1024,128,130,128,2.6748,4.5313,8.1120,8.0790,48.60,28.25,194,195,7167,62.8
2025-10-07_20:57:47,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-125m-q5,3,2,1024,128,130,128,2.7304,6.0565,9.7132,9.6658,47.61,21.13,191,195,6972,64.7
2025-10-07_20:57:59,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-125m-q5,1,2,2048,32,312,32,7.4047,1.6444,10.3213,10.2760,42.14,19.46,193,195,6871,65.2
2025-10-07_20:58:11,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-125m-q5,2,2,2048,32,312,32,6.9460,1.4713,9.5976,9.4391,44.92,21.75,191,195,6726,68.1
2025-10-07_20:58:23,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-125m-q5,3,2,2048,32,312,32,6.8967,1.4027,9.3083,9.2518,45.24,22.81,194,195,6668,68.6
2025-10-07_20:58:36,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-125m-q5,1,2,2048,64,312,64,6.7935,2.7966,10.5298,10.4876,45.93,22.88,191,195,6571,69.6
2025-10-07_20:58:49,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-125m-q5,2,2,2048,64,312,64,6.9931,3.6336,11.5860,11.5435,44.62,17.61,192,195,6249,70.1
2025-10-07_20:59:02,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-125m-q5,3,2,2048,64,312,64,6.7952,2.3599,10.1698,10.1169,45.91,27.12,190,195,7174,68.6
2025-10-07_20:59:16,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-125m-q5,1,2,2048,128,312,128,6.6846,4.8073,12.4007,12.3662,46.67,26.63,194,195,7177,68.1
2025-10-07_20:59:31,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-125m-q5,2,2,2048,128,312,128,6.6819,4.8135,12.3938,12.3578,46.69,26.59,194,195,7202,67.6
2025-10-07_20:59:45,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-125m-q5,3,2,2048,128,312,128,6.6840,4.8301,12.4155,12.3817,46.68,26.50,191,195,7190,68.1
2025-10-07_21:00:05,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-125m-q5,1,2,4096,32,659,32,15.1750,1.2870,17.3739,17.3378,43.43,24.86,191,195,7204,68.6
2025-10-07_21:00:25,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-125m-q5,2,2,4096,32,659,32,15.1949,1.2898,17.3978,17.3606,43.37,24.81,193,195,7209,68.1
2025-10-07_21:00:44,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-125m-q5,3,2,4096,32,659,32,15.2206,1.2866,17.4162,17.3799,43.30,24.87,192,195,7209,69.1
2025-10-07_21:01:05,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-125m-q5,1,2,4096,64,659,64,15.2215,2.6116,18.7380,18.7029,43.29,24.51,190,195,7192,68.1
2025-10-07_21:01:26,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-125m-q5,2,2,4096,64,659,64,15.2194,2.6210,18.7490,18.7138,43.30,24.42,196,196,7202,68.1
2025-10-07_21:01:47,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-125m-q5,3,2,4096,64,659,64,15.1866,2.6170,18.7299,18.6938,43.39,24.46,194,196,7202,69.6
2025-10-07_21:02:10,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-125m-q5,1,2,4096,128,659,128,15.1780,5.3374,21.4267,21.3904,43.42,23.98,193,196,7203,69.1
